UNDERSAMPLE_RATIO,ROC_RATIO,ratioAAE,ratioSAE,biasDiff,performance,support,overallAccuracy
0.0,0.5,"[[0.127], [0.43], [0.443]]","[[0.063], [0.342], [0.595]]","[[0.064], [0.08799999999999997], [-0.15199999999999997]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.5,"[[0.121], [0.441], [0.438]]","[[0.065], [0.334], [0.601]]","[[0.055999999999999994], [0.10699999999999998], [-0.16299999999999998]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.5,"[[0.113], [0.474], [0.413]]","[[0.072], [0.349], [0.579]]","[[0.04100000000000001], [0.125], [-0.16599999999999998]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.5,"[[0.095], [0.49], [0.415]]","[[0.061], [0.367], [0.572]]","[[0.034], [0.123], [-0.15699999999999997]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.72, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.5,"[[0.097], [0.518], [0.385]]","[[0.06], [0.373], [0.567]]","[[0.037000000000000005], [0.14500000000000002], [-0.18199999999999994]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.5,"[[0.101], [0.509], [0.39]]","[[0.063], [0.374], [0.563]]","[[0.038000000000000006], [0.135], [-0.17299999999999993]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.5,"[[0.074], [0.567], [0.359]]","[[0.049], [0.395], [0.556]]","[[0.024999999999999994], [0.17199999999999993], [-0.19700000000000006]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.5,"[[0.075], [0.581], [0.344]]","[[0.06], [0.4], [0.54]]","[[0.015], [0.18099999999999994], [-0.19600000000000006]]","[[0.38, 0.52, 0.44], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.5,"[[0.063], [0.601], [0.336]]","[[0.051], [0.394], [0.555]]","[[0.012000000000000004], [0.20699999999999996], [-0.21900000000000003]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.5,"[[0.077], [0.595], [0.328]]","[[0.061], [0.401], [0.538]]","[[0.016], [0.19399999999999995], [-0.21000000000000002]]","[[0.35, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.5,"[[0.063], [0.622], [0.315]]","[[0.052], [0.409], [0.539]]","[[0.011000000000000003], [0.21300000000000002], [-0.22400000000000003]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.51,"[[0.137], [0.402], [0.461]]","[[0.063], [0.342], [0.595]]","[[0.07400000000000001], [0.06], [-0.13399999999999995]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.51,"[[0.135], [0.405], [0.46]]","[[0.065], [0.334], [0.601]]","[[0.07], [0.07100000000000001], [-0.14099999999999996]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.51,"[[0.123], [0.443], [0.434]]","[[0.072], [0.349], [0.579]]","[[0.051000000000000004], [0.09400000000000003], [-0.14499999999999996]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.51,"[[0.104], [0.469], [0.427]]","[[0.06], [0.369], [0.571]]","[[0.044], [0.09999999999999998], [-0.14399999999999996]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.51,"[[0.11], [0.484], [0.406]]","[[0.06], [0.373], [0.567]]","[[0.05], [0.11099999999999999], [-0.16099999999999992]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.51,"[[0.103], [0.492], [0.405]]","[[0.063], [0.374], [0.563]]","[[0.039999999999999994], [0.118], [-0.15799999999999992]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.51,"[[0.081], [0.539], [0.38]]","[[0.049], [0.395], [0.556]]","[[0.032], [0.14400000000000002], [-0.17600000000000005]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.51,"[[0.082], [0.548], [0.37]]","[[0.063], [0.395], [0.542]]","[[0.019000000000000003], [0.15300000000000002], [-0.17200000000000004]]","[[0.38, 0.52, 0.44], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.51,"[[0.07], [0.571], [0.359]]","[[0.051], [0.394], [0.555]]","[[0.01900000000000001], [0.17699999999999994], [-0.19600000000000006]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.51,"[[0.09], [0.558], [0.352]]","[[0.061], [0.401], [0.538]]","[[0.028999999999999998], [0.15700000000000003], [-0.18600000000000005]]","[[0.35, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.51,"[[0.076], [0.588], [0.336]]","[[0.052], [0.409], [0.539]]","[[0.024], [0.179], [-0.203]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.52,"[[0.146], [0.371], [0.483]]","[[0.063], [0.342], [0.595]]","[[0.08299999999999999], [0.02899999999999997], [-0.11199999999999999]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.52,"[[0.141], [0.374], [0.485]]","[[0.065], [0.334], [0.601]]","[[0.07599999999999998], [0.03999999999999998], [-0.11599999999999999]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.52,"[[0.135], [0.414], [0.451]]","[[0.072], [0.349], [0.579]]","[[0.06300000000000001], [0.065], [-0.12799999999999995]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.52,"[[0.112], [0.438], [0.45]]","[[0.06], [0.369], [0.571]]","[[0.052000000000000005], [0.069], [-0.12099999999999994]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.52,"[[0.117], [0.449], [0.434]]","[[0.06], [0.373], [0.567]]","[[0.05700000000000001], [0.07600000000000001], [-0.13299999999999995]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.52,"[[0.113], [0.46], [0.427]]","[[0.063], [0.374], [0.563]]","[[0.05], [0.08600000000000002], [-0.13599999999999995]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.52,"[[0.093], [0.5], [0.407]]","[[0.049], [0.395], [0.556]]","[[0.044], [0.10499999999999998], [-0.14900000000000008]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.52,"[[0.088], [0.514], [0.398]]","[[0.06], [0.4], [0.54]]","[[0.027999999999999997], [0.11399999999999999], [-0.14200000000000002]]","[[0.38, 0.52, 0.44], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.52,"[[0.077], [0.544], [0.379]]","[[0.051], [0.394], [0.555]]","[[0.026000000000000002], [0.15000000000000002], [-0.17600000000000005]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.52,"[[0.096], [0.524], [0.38]]","[[0.06], [0.401], [0.539]]","[[0.036000000000000004], [0.123], [-0.15900000000000003]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.52,"[[0.082], [0.566], [0.352]]","[[0.052], [0.409], [0.539]]","[[0.030000000000000006], [0.15699999999999997], [-0.18700000000000006]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.53,"[[0.16], [0.337], [0.503]]","[[0.063], [0.342], [0.595]]","[[0.097], [-0.0050000000000000044], [-0.09199999999999997]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.53,"[[0.149], [0.346], [0.505]]","[[0.065], [0.334], [0.601]]","[[0.08399999999999999], [0.011999999999999955], [-0.09599999999999997]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.53,"[[0.141], [0.386], [0.473]]","[[0.072], [0.349], [0.579]]","[[0.06899999999999999], [0.03700000000000003], [-0.10599999999999998]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.53,"[[0.117], [0.4], [0.483]]","[[0.061], [0.367], [0.572]]","[[0.05600000000000001], [0.03300000000000003], [-0.08899999999999997]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.72, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.53,"[[0.126], [0.423], [0.451]]","[[0.06], [0.373], [0.567]]","[[0.066], [0.04999999999999999], [-0.11599999999999994]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.53,"[[0.12], [0.437], [0.443]]","[[0.063], [0.374], [0.563]]","[[0.056999999999999995], [0.063], [-0.11999999999999994]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.53,"[[0.095], [0.475], [0.43]]","[[0.049], [0.395], [0.556]]","[[0.046], [0.07999999999999996], [-0.12600000000000006]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.53,"[[0.098], [0.474], [0.428]]","[[0.063], [0.398], [0.539]]","[[0.035], [0.07599999999999996], [-0.11100000000000004]]","[[0.37, 0.51, 0.43], [0.93, 0.85, 0.89], [0.7, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.53,"[[0.083], [0.522], [0.395]]","[[0.051], [0.394], [0.555]]","[[0.03200000000000001], [0.128], [-0.16000000000000003]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.53,"[[0.101], [0.493], [0.406]]","[[0.06], [0.401], [0.539]]","[[0.04100000000000001], [0.09199999999999997], [-0.133]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.53,"[[0.088], [0.533], [0.379]]","[[0.052], [0.408], [0.54]]","[[0.036], [0.12500000000000006], [-0.16100000000000003]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.54,"[[0.168], [0.313], [0.519]]","[[0.063], [0.342], [0.595]]","[[0.10500000000000001], [-0.029000000000000026], [-0.07599999999999996]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.54,"[[0.156], [0.32], [0.524]]","[[0.065], [0.334], [0.601]]","[[0.091], [-0.014000000000000012], [-0.07699999999999996]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.54,"[[0.148], [0.359], [0.493]]","[[0.072], [0.349], [0.579]]","[[0.076], [0.010000000000000009], [-0.08599999999999997]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.54,"[[0.125], [0.375], [0.5]]","[[0.06], [0.369], [0.571]]","[[0.065], [0.006000000000000005], [-0.07099999999999995]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.54,"[[0.133], [0.39], [0.477]]","[[0.06], [0.373], [0.567]]","[[0.07300000000000001], [0.017000000000000015], [-0.08999999999999997]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.54,"[[0.129], [0.408], [0.463]]","[[0.063], [0.374], [0.563]]","[[0.066], [0.033999999999999975], [-0.09999999999999992]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.54,"[[0.106], [0.444], [0.45]]","[[0.049], [0.395], [0.556]]","[[0.056999999999999995], [0.04899999999999999], [-0.10600000000000004]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.54,"[[0.104], [0.447], [0.449]]","[[0.062], [0.397], [0.541]]","[[0.041999999999999996], [0.04999999999999999], [-0.09200000000000003]]","[[0.37, 0.51, 0.43], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.54,"[[0.089], [0.482], [0.429]]","[[0.051], [0.394], [0.555]]","[[0.038], [0.08799999999999997], [-0.12600000000000006]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.54,"[[0.111], [0.461], [0.428]]","[[0.06], [0.401], [0.539]]","[[0.051000000000000004], [0.06], [-0.11100000000000004]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.54,"[[0.093], [0.512], [0.395]]","[[0.052], [0.409], [0.539]]","[[0.041], [0.10300000000000004], [-0.14400000000000002]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.55,"[[0.175], [0.294], [0.531]]","[[0.063], [0.342], [0.595]]","[[0.11199999999999999], [-0.04800000000000004], [-0.06399999999999995]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.55,"[[0.163], [0.296], [0.541]]","[[0.065], [0.334], [0.601]]","[[0.098], [-0.038000000000000034], [-0.05999999999999994]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.55,"[[0.157], [0.324], [0.519]]","[[0.072], [0.349], [0.579]]","[[0.085], [-0.024999999999999967], [-0.05999999999999994]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.55,"[[0.133], [0.341], [0.526]]","[[0.06], [0.369], [0.571]]","[[0.07300000000000001], [-0.02799999999999997], [-0.04499999999999993]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.55,"[[0.139], [0.364], [0.497]]","[[0.06], [0.373], [0.567]]","[[0.07900000000000001], [-0.009000000000000008], [-0.06999999999999995]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
